country,gdp_percap
Albania,3255.3666326666666
Austria,20411.916279333334
Belgium,19900.758071666667
Bosnia and Herzegovina,3484.7790694
Bulgaria,6384.055172
Croatia,9331.712345916667
Czech Republic,13920.011379
Denmark,21671.824887916668
Finland,17473.72266733333
France,18833.570327083333
Germany,20556.68443275
Greece,13969.036832916667
Hungary,10888.175653666667
Iceland,20531.4222725
Ireland,15758.60623775
Italy,16245.209006416668
Montenegro,7208.06455975
Netherlands,21748.852208166667
Norway,26747.306554166666
Poland,8416.55391225
Portugal,11354.091927416666
Romania,7300.169973583334
Serbia,9305.049444083334
Slovak Republic,10415.530689
Slovenia,14074.582109333332
Spain,14029.82647875
Sweden,19943.126104
Switzerland,27074.334405
Turkey,4469.4533796666665
United Kingdom,19380.472985583332
